id,status,review_decision,reviewer_notes,displayTitle,summary,body,gift,shadow,integration,do,dont,lifeAreas,collectionHints,tags,intensity,planetA,aspect,planetB,voiceNeutral,source_file
jupiter-sextile-saturn,DRAFT,,,Expansive With Steady,Growth and belief support discipline and limits. This cooperative pattern asks you to use optimism and maturity with awareness.,"Growth and belief support discipline and limits. This cooperative pattern asks you to use optimism and maturity with awareness. Ambition grounded by realism; you grow at a sustainable pace. The connection is available when you choose to use it; it works best through deliberate practice. In practice, this can show up through growth and belief, discipline and limits, and the choices you make when overreach or fear starts running the room.","The gift is optimism, maturity, and a more conscious way to work with growth and belief and discipline and limits.","The shadow is overreach, fear, and repeating the same pattern without noticing what it is trying to teach.","Let growth and belief and discipline and limits cooperate without making either one carry the whole story. Balancing risk against prudence; unmanaged, it reads as inconsistency.",Name how growth and belief and discipline and limits are both involved | Use the easy opening deliberately | Turn optimism and maturity into one concrete choice,Let overreach make the decision | Take the talent for granted | Ignore the needs of growth and belief or discipline and limits,growth | work,personal-growth | career-patterns,jupiter | saturn | sextile | optimism | maturity,3,jupiter,sextile,saturn,true,data/insights/natal-aspects/jupiter-sextile-saturn.json
jupiter-sextile-uranus,DRAFT,,,Expansive With Original,Growth and belief support freedom and disruption. This cooperative pattern asks you to use optimism and originality with awareness.,"Growth and belief support freedom and disruption. This cooperative pattern asks you to use optimism and originality with awareness. Seen as forward-thinking and ahead of the curve; you get away with it. The connection is available when you choose to use it; it works best through deliberate practice. In practice, this can show up through growth and belief, freedom and disruption, and the choices you make when overreach or instability starts running the room.","The gift is optimism, originality, and a more conscious way to work with growth and belief and freedom and disruption.","The shadow is overreach, instability, and repeating the same pattern without noticing what it is trying to teach.",Let growth and belief and freedom and disruption cooperate without making either one carry the whole story. Innovative thinking whose reception depends heavily on how it's framed.,Name how growth and belief and freedom and disruption are both involved | Use the easy opening deliberately | Turn optimism and originality into one concrete choice,Let overreach make the decision | Take the talent for granted | Ignore the needs of growth and belief or freedom and disruption,growth | friends,personal-growth,jupiter | uranus | sextile | optimism | originality,3,jupiter,sextile,uranus,true,data/insights/natal-aspects/jupiter-sextile-uranus.json
jupiter-square-neptune,DRAFT,,,Faithful Or Inflated,"Your hope is large, and your imagination can make possibility feel close. Discernment keeps the vision from floating away.","Jupiter square Neptune describes big faith, spiritual longing, and a powerful imagination for what life could become. You may be drawn toward ideals, art, mysticism, rescue, or stories that promise meaning beyond the ordinary. This can inspire generosity and vision, but it can also blur judgment, inflate expectations, or make disappointment harder when reality arrives. The gift is inspired belief. The growth is learning to test the dream without killing it.","Vision, compassion, spiritual openness, imagination, and the ability to inspire hope.","Overidealism, escapism, vague promises, and believing the feeling before checking the foundation.","Give the dream a budget, a timeline, and honest witnesses. Faith becomes stronger when it can meet reality without collapsing.",Ground vision in one concrete commitment | Ask what the promise requires | Let inspiration be checked by trusted feedback,Confuse longing with guidance | Rescue people to prove the ideal | Ignore practical limits because the story feels meaningful,growth | spirituality | creativity,personal-growth | shadow-work | core-traits,faith | vision | idealism | discernment | hope,4,jupiter,square,neptune,true,data/insights/natal-aspects/jupiter-square-neptune.json
jupiter-square-pluto,DRAFT,,,Expansive Or Intense,Growth and belief press against power and transformation. This frictional pattern asks you to use optimism and depth with awareness.,"Growth and belief press against power and transformation. This frictional pattern asks you to use optimism and depth with awareness. Conviction hardens into zealotry or overreach. The friction makes the pattern noticeable, especially when pressure forces an adjustment. In practice, this can show up through growth and belief, power and transformation, and the choices you make when overreach or control starts running the room.","The gift is optimism, depth, and a more conscious way to work with growth and belief and power and transformation.","The shadow is overreach, control, and repeating the same pattern without noticing what it is trying to teach.","Let growth and belief and power and transformation cooperate without making either one carry the whole story. Big, transformative ambition; the intensity can overshoot.",Name how growth and belief and power and transformation are both involved | Pause before choosing the most familiar reaction | Turn optimism and depth into one concrete choice,Let overreach make the decision | Treat tension as proof that something is wrong | Ignore the needs of growth and belief or power and transformation,growth | power,personal-growth | shadow-work,jupiter | pluto | square | optimism | depth,5,jupiter,square,pluto,true,data/insights/natal-aspects/jupiter-square-pluto.json
jupiter-square-saturn,DRAFT,,,Growing Or Holding Back,"Part of you wants expansion; another part wants proof, timing, and control. Progress may come through negotiating both.","Jupiter square Saturn describes tension between faith and caution, increase and restraint, opportunity and responsibility. You may swing between big ambition and self-doubt, or feel that every opening comes with a test attached. This aspect can make growth more deliberate and durable when both sides are respected. The gift is mature expansion. The growth is not letting fear shrink the vision or optimism ignore the work.","Strategic growth, responsible ambition, patience, and the ability to turn vision into structure.","Stop-start momentum, scarcity thinking, overcorrection, and mistrusting opportunity until it has nearly passed.",Give the dream a structure and the structure a reason to live. Expansion works best when it has a container.,Plan growth in measurable stages | Let caution refine the opportunity | Check whether delay is wisdom or fear,Shrink the goal to avoid disappointment | Ignore limits because hope feels urgent | Treat every setback as a final answer,growth | work | money,career-patterns | personal-growth | core-traits,ambition | discipline | growth | timing | responsibility,4,jupiter,square,saturn,true,data/insights/natal-aspects/jupiter-square-saturn.json
jupiter-square-uranus,DRAFT,,,Expansive Or Original,Growth and belief press against freedom and disruption. This frictional pattern asks you to use optimism and originality with awareness.,"Growth and belief press against freedom and disruption. This frictional pattern asks you to use optimism and originality with awareness. Seen as eccentric or a crank, no matter the merit of the idea. The friction makes the pattern noticeable, especially when pressure forces an adjustment. In practice, this can show up through growth and belief, freedom and disruption, and the choices you make when overreach or instability starts running the room.","The gift is optimism, originality, and a more conscious way to work with growth and belief and freedom and disruption.","The shadow is overreach, instability, and repeating the same pattern without noticing what it is trying to teach.",Let growth and belief and freedom and disruption cooperate without making either one carry the whole story. Innovative thinking whose reception depends heavily on how it's framed.,Name how growth and belief and freedom and disruption are both involved | Pause before choosing the most familiar reaction | Turn optimism and originality into one concrete choice,Let overreach make the decision | Treat tension as proof that something is wrong | Ignore the needs of growth and belief or freedom and disruption,growth | friends,personal-growth | shadow-work,jupiter | uranus | square | optimism | originality,4,jupiter,square,uranus,true,data/insights/natal-aspects/jupiter-square-uranus.json
jupiter-trine-neptune,DRAFT,,,Expansive Through Inspired,Growth and belief flow with imagination and longing. This fluid pattern asks you to use optimism and compassion with awareness.,"Growth and belief flow with imagination and longing. This fluid pattern asks you to use optimism and compassion with awareness. Imaginative ideas that turn out to have practical application. The pattern can flow easily, which is useful when it is conscious and easy to take for granted when it is not. In practice, this can show up through growth and belief, imagination and longing, and the choices you make when overreach or confusion starts running the room.","The gift is optimism, compassion, and a more conscious way to work with growth and belief and imagination and longing.","The shadow is overreach, confusion, and repeating the same pattern without noticing what it is trying to teach.",Let growth and belief and imagination and longing cooperate without making either one carry the whole story. Inspired vision; test it against logic before committing.,Name how growth and belief and imagination and longing are both involved | Use the easy opening deliberately | Turn optimism and compassion into one concrete choice,Let overreach make the decision | Take the talent for granted | Ignore the needs of growth and belief or imagination and longing,growth | spirituality | creativity,personal-growth,jupiter | neptune | trine | optimism | compassion,3,jupiter,trine,neptune,true,data/insights/natal-aspects/jupiter-trine-neptune.json
jupiter-trine-pluto,DRAFT,,,Expansive Through Intense,Growth and belief flow with power and transformation. This fluid pattern asks you to use optimism and depth with awareness.,"Growth and belief flow with power and transformation. This fluid pattern asks you to use optimism and depth with awareness. Transformative ambition pursued with focus. The pattern can flow easily, which is useful when it is conscious and easy to take for granted when it is not. In practice, this can show up through growth and belief, power and transformation, and the choices you make when overreach or control starts running the room.","The gift is optimism, depth, and a more conscious way to work with growth and belief and power and transformation.","The shadow is overreach, control, and repeating the same pattern without noticing what it is trying to teach.","Let growth and belief and power and transformation cooperate without making either one carry the whole story. Big, transformative ambition; the intensity can overshoot.",Name how growth and belief and power and transformation are both involved | Use the easy opening deliberately | Turn optimism and depth into one concrete choice,Let overreach make the decision | Take the talent for granted | Ignore the needs of growth and belief or power and transformation,growth | power,personal-growth | shadow-work,jupiter | pluto | trine | optimism | depth,3,jupiter,trine,pluto,true,data/insights/natal-aspects/jupiter-trine-pluto.json
jupiter-trine-saturn,DRAFT,,,Expansive Through Steady,Growth and belief flow with discipline and limits. This fluid pattern asks you to use optimism and maturity with awareness.,"Growth and belief flow with discipline and limits. This fluid pattern asks you to use optimism and maturity with awareness. Ambition grounded by realism; you grow at a sustainable pace. The pattern can flow easily, which is useful when it is conscious and easy to take for granted when it is not. In practice, this can show up through growth and belief, discipline and limits, and the choices you make when overreach or fear starts running the room.","The gift is optimism, maturity, and a more conscious way to work with growth and belief and discipline and limits.","The shadow is overreach, fear, and repeating the same pattern without noticing what it is trying to teach.","Let growth and belief and discipline and limits cooperate without making either one carry the whole story. Balancing risk against prudence; unmanaged, it reads as inconsistency.",Name how growth and belief and discipline and limits are both involved | Use the easy opening deliberately | Turn optimism and maturity into one concrete choice,Let overreach make the decision | Take the talent for granted | Ignore the needs of growth and belief or discipline and limits,growth | work,personal-growth | career-patterns,jupiter | saturn | trine | optimism | maturity,3,jupiter,trine,saturn,true,data/insights/natal-aspects/jupiter-trine-saturn.json
jupiter-trine-uranus,DRAFT,,,Expansive Through Original,Growth and belief flow with freedom and disruption. This fluid pattern asks you to use optimism and originality with awareness.,"Growth and belief flow with freedom and disruption. This fluid pattern asks you to use optimism and originality with awareness. Seen as forward-thinking and ahead of the curve; you get away with it. The pattern can flow easily, which is useful when it is conscious and easy to take for granted when it is not. In practice, this can show up through growth and belief, freedom and disruption, and the choices you make when overreach or instability starts running the room.","The gift is optimism, originality, and a more conscious way to work with growth and belief and freedom and disruption.","The shadow is overreach, instability, and repeating the same pattern without noticing what it is trying to teach.",Let growth and belief and freedom and disruption cooperate without making either one carry the whole story. Innovative thinking whose reception depends heavily on how it's framed.,Name how growth and belief and freedom and disruption are both involved | Use the easy opening deliberately | Turn optimism and originality into one concrete choice,Let overreach make the decision | Take the talent for granted | Ignore the needs of growth and belief or freedom and disruption,growth | friends,personal-growth,jupiter | uranus | trine | optimism | originality,3,jupiter,trine,uranus,true,data/insights/natal-aspects/jupiter-trine-uranus.json
mars-conjunction-jupiter,DRAFT,,,Driven And Expansive,Drive and anger merge growth and belief. This concentrated pattern asks you to use courage and optimism with awareness.,"Drive and anger merge growth and belief. This concentrated pattern asks you to use courage and optimism with awareness. Energy meets expansion. Strong drive, confidence, and enthusiasm, sometimes to the point of recklessness. These drives sit close together, so the pattern may feel natural, immediate, and hard to separate. In practice, this can show up through drive and anger, growth and belief, and the choices you make when reactivity or overreach starts running the room.","The gift is courage, optimism, and a more conscious way to work with drive and anger and growth and belief.","The shadow is reactivity, overreach, and repeating the same pattern without noticing what it is trying to teach.",Let drive and anger and growth and belief cooperate without making either one carry the whole story. Big drive and ambition; focus is what turns it into results rather than waste.,Name how drive and anger and growth and belief are both involved | Use the easy opening deliberately | Turn courage and optimism into one concrete choice,Let reactivity make the decision | Assume what feels natural is automatically balanced | Ignore the needs of drive and anger or growth and belief,work | power | health,career-patterns | personal-growth,mars | jupiter | conjunction | courage | optimism,4,mars,conjunction,jupiter,true,data/insights/natal-aspects/mars-conjunction-jupiter.json
mars-conjunction-neptune,DRAFT,,,Driven And Inspired,Drive and anger merge imagination and longing. This concentrated pattern asks you to use courage and compassion with awareness.,"Drive and anger merge imagination and longing. This concentrated pattern asks you to use courage and compassion with awareness. Drive meets imagination. Energy steered by vision and a persuasive, magnetic pull. These drives sit close together, so the pattern may feel natural, immediate, and hard to separate. In practice, this can show up through drive and anger, imagination and longing, and the choices you make when reactivity or confusion starts running the room.","The gift is courage, compassion, and a more conscious way to work with drive and anger and imagination and longing.","The shadow is reactivity, confusion, and repeating the same pattern without noticing what it is trying to teach.",Let drive and anger and imagination and longing cooperate without making either one carry the whole story. Inspiring and persuasive; keep the aim concrete or the drive dissipates.,Name how drive and anger and imagination and longing are both involved | Use the easy opening deliberately | Turn courage and compassion into one concrete choice,Let reactivity make the decision | Assume what feels natural is automatically balanced | Ignore the needs of drive and anger or imagination and longing,work | power | health,career-patterns | personal-growth,mars | neptune | conjunction | courage | compassion,4,mars,conjunction,neptune,true,data/insights/natal-aspects/mars-conjunction-neptune.json
mars-conjunction-pluto,DRAFT,,,Driven And Intense,Drive and anger merge power and transformation. This concentrated pattern asks you to use courage and depth with awareness.,"Drive and anger merge power and transformation. This concentrated pattern asks you to use courage and depth with awareness. Drive meets power. Relentless force and a 'win at any cost' edge, with real capacity to eliminate or transform. These drives sit close together, so the pattern may feel natural, immediate, and hard to separate. In practice, this can show up through drive and anger, power and transformation, and the choices you make when reactivity or control starts running the room.","The gift is courage, depth, and a more conscious way to work with drive and anger and power and transformation.","The shadow is reactivity, control, and repeating the same pattern without noticing what it is trying to teach.",Let drive and anger and power and transformation cooperate without making either one carry the whole story. Formidable drive; temper and overkill are the dangers.,Name how drive and anger and power and transformation are both involved | Use the easy opening deliberately | Turn courage and depth into one concrete choice,Let reactivity make the decision | Assume what feels natural is automatically balanced | Ignore the needs of drive and anger or power and transformation,work | power | health,career-patterns | shadow-work | personal-growth,mars | pluto | conjunction | courage | depth,5,mars,conjunction,pluto,true,data/insights/natal-aspects/mars-conjunction-pluto.json
mars-conjunction-saturn,DRAFT,,,Driven And Steady,Drive and anger merge discipline and limits. This concentrated pattern asks you to use courage and maturity with awareness.,"Drive and anger merge discipline and limits. This concentrated pattern asks you to use courage and maturity with awareness. Drive meets limit. Disciplined endurance and the ability to pace yourself and keep going long after others quit. These drives sit close together, so the pattern may feel natural, immediate, and hard to separate. In practice, this can show up through drive and anger, discipline and limits, and the choices you make when reactivity or fear starts running the room.","The gift is courage, maturity, and a more conscious way to work with drive and anger and discipline and limits.","The shadow is reactivity, fear, and repeating the same pattern without noticing what it is trying to teach.",Let drive and anger and discipline and limits cooperate without making either one carry the whole story. Endurance and discipline; the friction is the constant start-stop of push against restraint.,Name how drive and anger and discipline and limits are both involved | Use the easy opening deliberately | Turn courage and maturity into one concrete choice,Let reactivity make the decision | Assume what feels natural is automatically balanced | Ignore the needs of drive and anger or discipline and limits,work | power | health,career-patterns | personal-growth,mars | saturn | conjunction | courage | maturity,4,mars,conjunction,saturn,true,data/insights/natal-aspects/mars-conjunction-saturn.json
mars-conjunction-uranus,DRAFT,,,Driven And Original,Drive and anger merge freedom and disruption. This concentrated pattern asks you to use courage and originality with awareness.,"Drive and anger merge freedom and disruption. This concentrated pattern asks you to use courage and originality with awareness. Action meets disruption. Impulsive, risk-taking, rebellious energy, with impatience and a pull toward technology. These drives sit close together, so the pattern may feel natural, immediate, and hard to separate. In practice, this can show up through drive and anger, freedom and disruption, and the choices you make when reactivity or instability starts running the room.","The gift is courage, originality, and a more conscious way to work with drive and anger and freedom and disruption.","The shadow is reactivity, instability, and repeating the same pattern without noticing what it is trying to teach.",Let drive and anger and freedom and disruption cooperate without making either one carry the whole story. Innovative and fast; the cost is recklessness and volatility.,Name how drive and anger and freedom and disruption are both involved | Use the easy opening deliberately | Turn courage and originality into one concrete choice,Let reactivity make the decision | Assume what feels natural is automatically balanced | Ignore the needs of drive and anger or freedom and disruption,work | power | health,career-patterns | personal-growth,mars | uranus | conjunction | courage | originality,4,mars,conjunction,uranus,true,data/insights/natal-aspects/mars-conjunction-uranus.json
mars-opposition-jupiter,DRAFT,,,Driven Across Expansive,Drive and anger mirror growth and belief. This polarized pattern asks you to use courage and optimism with awareness.,"Drive and anger mirror growth and belief. This polarized pattern asks you to use courage and optimism with awareness. Shortened temper and patience, and energy scattered across one ill-considered pursuit after another. The two sides may appear through contrast, projection, or relationships until you learn to hold both directly. In practice, this can show up through drive and anger, growth and belief, and the choices you make when reactivity or overreach starts running the room.","The gift is courage, optimism, and a more conscious way to work with drive and anger and growth and belief.","The shadow is reactivity, overreach, and repeating the same pattern without noticing what it is trying to teach.",Let drive and anger and growth and belief cooperate without making either one carry the whole story. Big drive and ambition; focus is what turns it into results rather than waste.,Name how drive and anger and growth and belief are both involved | Pause before choosing the most familiar reaction | Turn courage and optimism into one concrete choice,Let reactivity make the decision | Treat tension as proof that something is wrong | Ignore the needs of drive and anger or growth and belief,work | power | health,career-patterns | personal-growth | shadow-work,mars | jupiter | opposition | courage | optimism,4,mars,opposition,jupiter,true,data/insights/natal-aspects/mars-opposition-jupiter.json
mars-opposition-neptune,DRAFT,,,Driven Across Inspired,Drive and anger mirror imagination and longing. This polarized pattern asks you to use courage and compassion with awareness.,"Drive and anger mirror imagination and longing. This polarized pattern asks you to use courage and compassion with awareness. Misdirected effort: setting off one way and ending up another, with energy quietly draining away. The two sides may appear through contrast, projection, or relationships until you learn to hold both directly. In practice, this can show up through drive and anger, imagination and longing, and the choices you make when reactivity or confusion starts running the room.","The gift is courage, compassion, and a more conscious way to work with drive and anger and imagination and longing.","The shadow is reactivity, confusion, and repeating the same pattern without noticing what it is trying to teach.",Let drive and anger and imagination and longing cooperate without making either one carry the whole story. Inspiring and persuasive; keep the aim concrete or the drive dissipates.,Name how drive and anger and imagination and longing are both involved | Pause before choosing the most familiar reaction | Turn courage and compassion into one concrete choice,Let reactivity make the decision | Treat tension as proof that something is wrong | Ignore the needs of drive and anger or imagination and longing,work | power | health,career-patterns | personal-growth | shadow-work,mars | neptune | opposition | courage | compassion,4,mars,opposition,neptune,true,data/insights/natal-aspects/mars-opposition-neptune.json
