surface,item_type,id,title,original_source_meaning,base_meaning_rewrite,observable_experience,shadow_pattern,best_move,business_lens,voice_notes,source_file
Sky,lunations/full-moon,full-moon-taurus,Full Moon in Taurus,"title: Full Moon in Taurus tldr: A culmination and release point for the Taurus / Scorpio axis. shadow: staying in stale situations because they are comfortable, or mistaking possession for security integration: building stability that can hold change instead of resisting it voiceNeutral: true","This lunation marks a culmination and release around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/full-moon/full-moon-taurus.json
Sky,lunations/full-moon,full-moon-virgo,Full Moon in Virgo,"title: Full Moon in Virgo tldr: A culmination and release point for the Virgo / Pisces axis. shadow: perfectionism as self-harm, over-correcting yourself until there is no room to live integration: building a humane structure that supports excellence without cruelty voiceNeutral: true","This lunation marks a culmination and release around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/full-moon/full-moon-virgo.json
Sky,lunations/new-moon,new-moon-aquarius,New Moon in Aquarius,"title: New Moon in Aquarius tldr: A seed point for future vision, community, individuation, innovation, and the courage to belong without disappearing. shadow: detachment disguised as enlightenment, rebellion without responsibility, or selling a version of yourself you do not believe in integration: changing the system without abandoning your own aliveness voiceNeutral: true","This lunation marks a new beginning around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/new-moon/new-moon-aquarius.json
Sky,lunations/new-moon,new-moon-aries,New Moon in Aries,"title: New Moon in Aries tldr: A seed point for courage, direct action, self-trust, and clean beginnings. shadow: bulldozing without checking direction, reacting before listening, or confusing urgency with truth integration: commanding your life without making every room a battlefield voiceNeutral: true","This lunation marks a new beginning around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/new-moon/new-moon-aries.json
Sky,lunations/new-moon,new-moon-cancer,New Moon in Cancer,"title: New Moon in Cancer tldr: A seed point for protection, emotional honesty, home, belonging, and the private life that supports the public one. shadow: caretaking as avoidance of your own needs, or protecting yourself until connection cannot reach you integration: creating safety that does not become isolation voiceNeutral: true","This lunation marks a new beginning around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/new-moon/new-moon-cancer.json
Sky,lunations/new-moon,new-moon-capricorn,New Moon in Capricorn,"title: New Moon in Capricorn tldr: A seed point for structure, ambition, responsibility, boundaries, time, and the legacy built through real effort. shadow: achievement at the cost of humanity, measuring worth only by output, or choosing success over softness integration: building something durable without abandoning the life it is meant to support voiceNeutral: true","This lunation marks a new beginning around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/new-moon/new-moon-capricorn.json
Sky,lunations/new-moon,new-moon-gemini,New Moon in Gemini,"title: New Moon in Gemini tldr: A seed point for language, curiosity, learning, conversation, and the courage to name what is true now. shadow: mental loops that prevent commitment, asking endless questions to avoid choosing integration: turning scattered information into a message that can move voiceNeutral: true","This lunation marks a new beginning around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/new-moon/new-moon-gemini.json
Sky,lunations/new-moon,new-moon-leo,New Moon in Leo,"title: New Moon in Leo tldr: A seed point for creative fire, visibility, joy, play, leadership, and the right to be seen. shadow: needing applause to feel worthy, or editing your radiance to stay acceptable integration: letting yourself shine in a way that gives others permission to shine too voiceNeutral: true","This lunation marks a new beginning around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/new-moon/new-moon-leo.json
Sky,lunations/new-moon,new-moon-libra,New Moon in Libra,"title: New Moon in Libra tldr: A seed point for relationship, reciprocity, beauty, justice, consent, and the courage to choose cleanly. shadow: keeping peace at the expense of yourself, over-accommodating, or calling avoidance harmony integration: creating balance that includes your needs too voiceNeutral: true","This lunation marks a new beginning around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/new-moon/new-moon-libra.json
Sky,lunations/new-moon,new-moon-pisces,New Moon in Pisces,"title: New Moon in Pisces tldr: A seed point for dreams, compassion, intuition, rest, spiritual trust, and the wisdom beyond control. shadow: escape disguised as surrender, porous boundaries, fantasy that avoids reality integration: letting flow have enough structure to become healing instead of drift voiceNeutral: true","This lunation marks a new beginning around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/new-moon/new-moon-pisces.json
Sky,lunations/new-moon,new-moon-sagittarius,New Moon in Sagittarius,"title: New Moon in Sagittarius tldr: A seed point for truth, faith, travel, teaching, perspective, and the message that grows from lived experience. shadow: philosophy without embodiment, certainty that stops listening, or escape dressed as freedom integration: living the wisdom you claim to believe voiceNeutral: true","This lunation marks a new beginning around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/new-moon/new-moon-sagittarius.json
Sky,lunations/new-moon,new-moon-scorpio,New Moon in Scorpio,"title: New Moon in Scorpio tldr: A seed point for depth, trust, release, intimacy, shared resources, and honest transformation. shadow: control disguised as strength, testing people instead of telling the truth, or holding on until it hurts integration: letting what is expired complete so real intimacy has room voiceNeutral: true","This lunation marks a new beginning around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/new-moon/new-moon-scorpio.json
Sky,lunations/new-moon,new-moon-taurus,New Moon in Taurus,"title: New Moon in Taurus tldr: A seed point for value, steadiness, embodiment, money, and what is worth protecting. shadow: staying in stale situations because they are comfortable, or mistaking possession for security integration: building stability that can hold change instead of resisting it voiceNeutral: true","This lunation marks a new beginning around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/new-moon/new-moon-taurus.json
Sky,lunations/new-moon,new-moon-virgo,New Moon in Virgo,"title: New Moon in Virgo tldr: A seed point for routine, discernment, repair, health, craft, and the small actions that make devotion real. shadow: perfectionism as self-harm, over-correcting yourself until there is no room to live integration: building a humane structure that supports excellence without cruelty voiceNeutral: true","This lunation marks a new beginning around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/new-moon/new-moon-virgo.json
Sky + You,placements/sign,jupiter-aquarius,Jupiter in Aquarius,"tldr: Jupiter in Aquarius: you grow through innovation, ideals, and community body: Jupiter in Aquarius: you grow through innovation, ideals, and community. Luck comes via originality and the collective. Watch: detachment and abstract overreach. gift: At work this reads as growth and expansion carried out with independent. voiceNeutral: true","Growth, belief, opportunity, and expansion moves through distance, systems, independence, collective patterns, and future orientation. Read this as current weather, not a personality trait.","People may notice growth, belief, opportunity, and expansion taking on a more distance tone in conversations, choices, and timing.","overpromising, overreaching, or mistaking optimism for evidence",Test the opportunity against reality before expanding it.,"Useful for planning: watch how growth, belief, opportunity, and expansion changes pace and choose the cleanest next move.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/placements/sign/jupiter-aquarius.json
Sky + You,placements/sign,jupiter-aries,Jupiter in Aries,tldr: Jupiter in Aries: you grow through bold action and independence body: Jupiter in Aries: you grow through bold action and independence. Luck favors initiative and courage. Watch: overconfidence and rushing. gift: At work this reads as growth and expansion carried out with direct. voiceNeutral: true,"Growth, belief, opportunity, and expansion moves through urgency, courage, initiative, and direct action. Read this as current weather, not a personality trait.","People may notice growth, belief, opportunity, and expansion taking on a more urgency tone in conversations, choices, and timing.","overpromising, overreaching, or mistaking optimism for evidence",Test the opportunity against reality before expanding it.,"Useful for planning: watch how growth, belief, opportunity, and expansion changes pace and choose the cleanest next move.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/placements/sign/jupiter-aries.json
Sky + You,placements/sign,jupiter-cancer,Jupiter in Cancer,"tldr: Jupiter in Cancer: you grow through nurturing, home, and emotional depth body: Jupiter in Cancer: you grow through nurturing, home, and emotional depth. Strong placement, generous of heart. Luck comes via family and care. Watch: over-attachment. gift: At work this reads as growth and expansion carried out with protective. voiceNeutral: true","Growth, belief, opportunity, and expansion moves through memory, protection, belonging, care, and emotional context. Read this as current weather, not a personality trait.","People may notice growth, belief, opportunity, and expansion taking on a more memory tone in conversations, choices, and timing.","overpromising, overreaching, or mistaking optimism for evidence",Test the opportunity against reality before expanding it.,"Useful for planning: watch how growth, belief, opportunity, and expansion changes pace and choose the cleanest next move.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/placements/sign/jupiter-cancer.json
Sky + You,placements/sign,jupiter-capricorn,Jupiter in Capricorn,"tldr: Jupiter in Capricorn: you grow through discipline, ambition, and patient building body: Jupiter in Capricorn: you grow through discipline, ambition, and patient building. Luck comes via responsibility and the long game. Watch: pessimism limiting your reach. gift: At work this reads as growth and expansion carried out with disciplined. voiceNeutral: true","Growth, belief, opportunity, and expansion moves through structure, restraint, responsibility, practical next steps, and endurance. Read this as current weather, not a personality trait.","People may notice growth, belief, opportunity, and expansion taking on a more structure tone in conversations, choices, and timing.","overpromising, overreaching, or mistaking optimism for evidence",Test the opportunity against reality before expanding it.,"Useful for planning: watch how growth, belief, opportunity, and expansion changes pace and choose the cleanest next move.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/placements/sign/jupiter-capricorn.json
Sky + You,placements/sign,jupiter-gemini,Jupiter in Gemini,"tldr: Jupiter in Gemini: you grow through learning, talking, and curiosity body: Jupiter in Gemini: you grow through learning, talking, and curiosity. Luck comes via ideas and connections. Watch: scattering yourself thin. gift: At work this reads as growth and expansion carried out with curious. voiceNeutral: true","Growth, belief, opportunity, and expansion moves through curiosity, language, movement, information, and adaptability. Read this as current weather, not a personality trait.","People may notice growth, belief, opportunity, and expansion taking on a more curiosity tone in conversations, choices, and timing.","overpromising, overreaching, or mistaking optimism for evidence",Test the opportunity against reality before expanding it.,"Useful for planning: watch how growth, belief, opportunity, and expansion changes pace and choose the cleanest next move.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/placements/sign/jupiter-gemini.json
Sky + You,placements/sign,jupiter-leo,Jupiter in Leo,"tldr: Jupiter in Leo: you grow through creativity, generosity, and self-expression body: Jupiter in Leo: you grow through creativity, generosity, and self-expression. Luck favors big-hearted confidence. Watch: ego and overplaying the drama. gift: At work this reads as growth and expansion carried out with proud. voiceNeutral: true","Growth, belief, opportunity, and expansion moves through visibility, confidence, creativity, recognition, and expressive warmth. Read this as current weather, not a personality trait.","People may notice growth, belief, opportunity, and expansion taking on a more visibility tone in conversations, choices, and timing.","overpromising, overreaching, or mistaking optimism for evidence",Test the opportunity against reality before expanding it.,"Useful for planning: watch how growth, belief, opportunity, and expansion changes pace and choose the cleanest next move.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/placements/sign/jupiter-leo.json
Sky + You,placements/sign,jupiter-libra,Jupiter in Libra,"tldr: Jupiter in Libra: you grow through relationship, fairness, and beauty body: Jupiter in Libra: you grow through relationship, fairness, and beauty. Luck comes via partnership and diplomacy. Watch: indecision and over-accommodating. gift: At work this reads as growth and expansion carried out with relational. voiceNeutral: true","Growth, belief, opportunity, and expansion moves through relationship, fairness, aesthetics, agreement, and social balance. Read this as current weather, not a personality trait.","People may notice growth, belief, opportunity, and expansion taking on a more relationship tone in conversations, choices, and timing.","overpromising, overreaching, or mistaking optimism for evidence",Test the opportunity against reality before expanding it.,"Useful for planning: watch how growth, belief, opportunity, and expansion changes pace and choose the cleanest next move.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/placements/sign/jupiter-libra.json
Sky + You,placements/sign,jupiter-pisces,Jupiter in Pisces,"tldr: Jupiter in Pisces: you grow through compassion, imagination, and faith body: Jupiter in Pisces: you grow through compassion, imagination, and faith. Strong here, boundless and generous. Luck comes via surrender and creativity. Watch: escapism and no limits. gift: At work this reads as growth and expansion carried out with imaginative. voiceNeutral: true","Growth, belief, opportunity, and expansion moves through sensitivity, imagination, compassion, porous boundaries, and surrender. Read this as current weather, not a personality trait.","People may notice growth, belief, opportunity, and expansion taking on a more sensitivity tone in conversations, choices, and timing.","overpromising, overreaching, or mistaking optimism for evidence",Test the opportunity against reality before expanding it.,"Useful for planning: watch how growth, belief, opportunity, and expansion changes pace and choose the cleanest next move.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/placements/sign/jupiter-pisces.json
Sky + You,placements/sign,jupiter-sagittarius,Jupiter in Sagittarius,"tldr: Jupiter in Sagittarius: you grow through adventure, learning, and meaning body: Jupiter in Sagittarius: you grow through adventure, learning, and meaning. At home here, expansive and free. Luck favors the bold and curious. Watch: overreach and dogma. gift: At work this reads as growth and expansion carried out with expansive. voiceNeutral: true","Growth, belief, opportunity, and expansion moves through meaning, belief, exploration, perspective, and growth. Read this as current weather, not a personality trait.","People may notice growth, belief, opportunity, and expansion taking on a more meaning tone in conversations, choices, and timing.","overpromising, overreaching, or mistaking optimism for evidence",Test the opportunity against reality before expanding it.,"Useful for planning: watch how growth, belief, opportunity, and expansion changes pace and choose the cleanest next move.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/placements/sign/jupiter-sagittarius.json
Sky + You,placements/sign,jupiter-scorpio,Jupiter in Scorpio,"tldr: Jupiter in Scorpio: you grow through depth, intensity, and transformation body: Jupiter in Scorpio: you grow through depth, intensity, and transformation. Luck comes via shared resources and going beneath the surface. Watch: obsession and excess. gift: At work this reads as growth and expansion carried out with intense. voiceNeutral: true","Growth, belief, opportunity, and expansion moves through depth, privacy, trust, emotional honesty, and intensity. Read this as current weather, not a personality trait.","People may notice growth, belief, opportunity, and expansion taking on a more depth tone in conversations, choices, and timing.","overpromising, overreaching, or mistaking optimism for evidence",Test the opportunity against reality before expanding it.,"Useful for planning: watch how growth, belief, opportunity, and expansion changes pace and choose the cleanest next move.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/placements/sign/jupiter-scorpio.json
Sky + You,placements/sign,jupiter-taurus,Jupiter in Taurus,"tldr: Jupiter in Taurus: you grow through patience, comfort, and building real resources body: Jupiter in Taurus: you grow through patience, comfort, and building real resources. Luck comes via steadiness and the senses. Watch: complacency and overindulgence. gift: At work this reads as growth and expansion carried out with steady. voiceNeutral: true","Growth, belief, opportunity, and expansion moves through stability, patience, material reality, comfort, and consistency. Read this as current weather, not a personality trait.","People may notice growth, belief, opportunity, and expansion taking on a more stability tone in conversations, choices, and timing.","overpromising, overreaching, or mistaking optimism for evidence",Test the opportunity against reality before expanding it.,"Useful for planning: watch how growth, belief, opportunity, and expansion changes pace and choose the cleanest next move.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/placements/sign/jupiter-taurus.json
Sky + You,placements/sign,jupiter-virgo,Jupiter in Virgo,"tldr: Jupiter in Virgo: you grow through skill, service, and improvement body: Jupiter in Virgo: you grow through skill, service, and improvement. Luck comes via useful work and craft. Watch: shrinking the big picture into nitpicks. gift: At work this reads as growth and expansion carried out with precise. voiceNeutral: true","Growth, belief, opportunity, and expansion moves through discernment, repair, routine, useful detail, and refinement. Read this as current weather, not a personality trait.","People may notice growth, belief, opportunity, and expansion taking on a more discernment tone in conversations, choices, and timing.","overpromising, overreaching, or mistaking optimism for evidence",Test the opportunity against reality before expanding it.,"Useful for planning: watch how growth, belief, opportunity, and expansion changes pace and choose the cleanest next move.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/placements/sign/jupiter-virgo.json
Sky + You,placements/sign,mars-aquarius,Mars in Aquarius,"tldr: Mars in Aquarius: action is principled, independent, and system-disrupting. body: With Mars in Aquarius, drive moves through ideas, networks, and the urge to break stale patterns. You act when the future needs a different structure. gift: Innovation, social courage, independence, and strategic rebellion. voiceNeutral: true","Action, heat, courage, friction, and desire moves through distance, systems, independence, collective patterns, and future orientation. Read this as current weather, not a personality trait.","People may notice action, heat, courage, friction, and desire taking on a more distance tone in conversations, choices, and timing.",forcing movement before the situation is ready,Choose one action instead of forcing the whole outcome.,"Useful for planning: watch how action, heat, courage, friction, and desire changes pace and choose the cleanest next move.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/placements/sign/mars-aquarius.json
Sky + You,placements/sign,mars-aries,Mars in Aries,"tldr: Mars in Aries: action is fast, direct, and naturally assertive. body: With Mars in Aries, Mars is at home, so drive moves cleanly through courage, initiative, and confrontation when needed. You do best when energy has a clear target. gift: Bold action, independence, competitive strength, and the ability to start without waiting. voiceNeutral: true","Action, heat, courage, friction, and desire moves through urgency, courage, initiative, and direct action. Read this as current weather, not a personality trait.","People may notice action, heat, courage, friction, and desire taking on a more urgency tone in conversations, choices, and timing.",forcing movement before the situation is ready,Choose one action instead of forcing the whole outcome.,"Useful for planning: watch how action, heat, courage, friction, and desire changes pace and choose the cleanest next move.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/placements/sign/mars-aries.json
Sky + You,placements/sign,mars-cancer,Mars in Cancer,"tldr: Mars in Cancer: action is protective, emotional, and indirect when unsafe. body: With Mars in Cancer, drive is motivated by care, loyalty, and the need to defend what matters. Mars is in fall here, so anger can turn sideways until it is named directly. gift: Protective courage, tenacity, emotional motivation, and fierce devotion. voiceNeutral: true","Action, heat, courage, friction, and desire moves through memory, protection, belonging, care, and emotional context. Read this as current weather, not a personality trait.","People may notice action, heat, courage, friction, and desire taking on a more memory tone in conversations, choices, and timing.",forcing movement before the situation is ready,Choose one action instead of forcing the whole outcome.,"Useful for planning: watch how action, heat, courage, friction, and desire changes pace and choose the cleanest next move.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/placements/sign/mars-cancer.json
