surface,item_type,id,title,original_source_meaning,base_meaning_rewrite,observable_current_activation,pressure_point,best_move,reader_facing_summary,voice_notes,source_file
You,transits/natal,jupiter_mars_conjunction,Transiting Jupiter Conjunction Natal Mars,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of action, heat, courage, friction, and desire through a fusion aspect.","This may temporarily bring action, heat, courage, friction, and desire into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Acting from the intensity before identifying the separate parts.,Test the opportunity against reality before expanding it.,"Something connected to action, heat, courage, friction, and desire may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_mars_conjunction.json
You,transits/natal,jupiter_mars_opposition,Transiting Jupiter Opposition Natal Mars,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of action, heat, courage, friction, and desire through a polarity aspect.","This may temporarily bring action, heat, courage, friction, and desire into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Turning tension into a standoff instead of a clearer understanding.,Test the opportunity against reality before expanding it.,"Something connected to action, heat, courage, friction, and desire may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_mars_opposition.json
You,transits/natal,jupiter_mars_sextile,Transiting Jupiter Sextile Natal Mars,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of action, heat, courage, friction, and desire through a opening aspect.","This may temporarily bring action, heat, courage, friction, and desire into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Coasting on the good idea without turning it into anything concrete.,Test the opportunity against reality before expanding it.,"Something connected to action, heat, courage, friction, and desire may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_mars_sextile.json
You,transits/natal,jupiter_mars_square,Transiting Jupiter Square Natal Mars,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of action, heat, courage, friction, and desire through a friction aspect.","This may temporarily bring action, heat, courage, friction, and desire into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Forcing a decision just to end the discomfort.,Test the opportunity against reality before expanding it.,"Something connected to action, heat, courage, friction, and desire may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_mars_square.json
You,transits/natal,jupiter_mars_trine,Transiting Jupiter Trine Natal Mars,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of action, heat, courage, friction, and desire through a flow aspect.","This may temporarily bring action, heat, courage, friction, and desire into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Letting the ease pass unused because nothing feels urgent.,Test the opportunity against reality before expanding it.,"Something connected to action, heat, courage, friction, and desire may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_mars_trine.json
You,transits/natal,jupiter_mercury_conjunction,Transiting Jupiter Conjunction Natal Mercury,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of language, information, decisions, and nervous energy through a fusion aspect.","This may temporarily bring language, information, decisions, and nervous energy into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Acting from the intensity before identifying the separate parts.,Test the opportunity against reality before expanding it.,"Something connected to language, information, decisions, and nervous energy may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_mercury_conjunction.json
You,transits/natal,jupiter_mercury_opposition,Transiting Jupiter Opposition Natal Mercury,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of language, information, decisions, and nervous energy through a polarity aspect.","This may temporarily bring language, information, decisions, and nervous energy into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Turning tension into a standoff instead of a clearer understanding.,Test the opportunity against reality before expanding it.,"Something connected to language, information, decisions, and nervous energy may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_mercury_opposition.json
You,transits/natal,jupiter_mercury_sextile,Transiting Jupiter Sextile Natal Mercury,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of language, information, decisions, and nervous energy through a opening aspect.","This may temporarily bring language, information, decisions, and nervous energy into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Coasting on the good idea without turning it into anything concrete.,Test the opportunity against reality before expanding it.,"Something connected to language, information, decisions, and nervous energy may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_mercury_sextile.json
You,transits/natal,jupiter_mercury_square,Transiting Jupiter Square Natal Mercury,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of language, information, decisions, and nervous energy through a friction aspect.","This may temporarily bring language, information, decisions, and nervous energy into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Forcing a decision just to end the discomfort.,Test the opportunity against reality before expanding it.,"Something connected to language, information, decisions, and nervous energy may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_mercury_square.json
You,transits/natal,jupiter_mercury_trine,Transiting Jupiter Trine Natal Mercury,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of language, information, decisions, and nervous energy through a flow aspect.","This may temporarily bring language, information, decisions, and nervous energy into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Letting the ease pass unused because nothing feels urgent.,Test the opportunity against reality before expanding it.,"Something connected to language, information, decisions, and nervous energy may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_mercury_trine.json
You,transits/natal,jupiter_moon_conjunction,Transiting Jupiter Conjunction Natal Moon,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of emotion, instinct, needs, and daily rhythm through a fusion aspect.","This may temporarily bring emotion, instinct, needs, and daily rhythm into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Acting from the intensity before identifying the separate parts.,Test the opportunity against reality before expanding it.,"Something connected to emotion, instinct, needs, and daily rhythm may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_moon_conjunction.json
You,transits/natal,jupiter_moon_opposition,Transiting Jupiter Opposition Natal Moon,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of emotion, instinct, needs, and daily rhythm through a polarity aspect.","This may temporarily bring emotion, instinct, needs, and daily rhythm into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Turning tension into a standoff instead of a clearer understanding.,Test the opportunity against reality before expanding it.,"Something connected to emotion, instinct, needs, and daily rhythm may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_moon_opposition.json
You,transits/natal,jupiter_moon_sextile,Transiting Jupiter Sextile Natal Moon,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of emotion, instinct, needs, and daily rhythm through a opening aspect.","This may temporarily bring emotion, instinct, needs, and daily rhythm into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Coasting on the good idea without turning it into anything concrete.,Test the opportunity against reality before expanding it.,"Something connected to emotion, instinct, needs, and daily rhythm may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_moon_sextile.json
You,transits/natal,jupiter_moon_square,Transiting Jupiter Square Natal Moon,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of emotion, instinct, needs, and daily rhythm through a friction aspect.","This may temporarily bring emotion, instinct, needs, and daily rhythm into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Forcing a decision just to end the discomfort.,Test the opportunity against reality before expanding it.,"Something connected to emotion, instinct, needs, and daily rhythm may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_moon_square.json
You,transits/natal,jupiter_moon_trine,Transiting Jupiter Trine Natal Moon,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of emotion, instinct, needs, and daily rhythm through a flow aspect.","This may temporarily bring emotion, instinct, needs, and daily rhythm into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Letting the ease pass unused because nothing feels urgent.,Test the opportunity against reality before expanding it.,"Something connected to emotion, instinct, needs, and daily rhythm may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_moon_trine.json
You,transits/natal,jupiter_neptune_conjunction,Transiting Jupiter Conjunction Natal Neptune,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of imagination, longing, vision, sensitivity, and uncertainty through a fusion aspect.","This may temporarily bring imagination, longing, vision, sensitivity, and uncertainty into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Acting from the intensity before identifying the separate parts.,Test the opportunity against reality before expanding it.,"Something connected to imagination, longing, vision, sensitivity, and uncertainty may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_neptune_conjunction.json
You,transits/natal,jupiter_neptune_opposition,Transiting Jupiter Opposition Natal Neptune,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of imagination, longing, vision, sensitivity, and uncertainty through a polarity aspect.","This may temporarily bring imagination, longing, vision, sensitivity, and uncertainty into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Turning tension into a standoff instead of a clearer understanding.,Test the opportunity against reality before expanding it.,"Something connected to imagination, longing, vision, sensitivity, and uncertainty may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_neptune_opposition.json
You,transits/natal,jupiter_neptune_sextile,Transiting Jupiter Sextile Natal Neptune,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of imagination, longing, vision, sensitivity, and uncertainty through a opening aspect.","This may temporarily bring imagination, longing, vision, sensitivity, and uncertainty into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Coasting on the good idea without turning it into anything concrete.,Test the opportunity against reality before expanding it.,"Something connected to imagination, longing, vision, sensitivity, and uncertainty may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_neptune_sextile.json
You,transits/natal,jupiter_neptune_square,Transiting Jupiter Square Natal Neptune,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of imagination, longing, vision, sensitivity, and uncertainty through a friction aspect.","This may temporarily bring imagination, longing, vision, sensitivity, and uncertainty into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Forcing a decision just to end the discomfort.,Test the opportunity against reality before expanding it.,"Something connected to imagination, longing, vision, sensitivity, and uncertainty may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_neptune_square.json
You,transits/natal,jupiter_neptune_trine,Transiting Jupiter Trine Natal Neptune,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of imagination, longing, vision, sensitivity, and uncertainty through a flow aspect.","This may temporarily bring imagination, longing, vision, sensitivity, and uncertainty into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Letting the ease pass unused because nothing feels urgent.,Test the opportunity against reality before expanding it.,"Something connected to imagination, longing, vision, sensitivity, and uncertainty may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_neptune_trine.json
You,transits/natal,jupiter_pluto_conjunction,Transiting Jupiter Conjunction Natal Pluto,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of depth, power, pressure, release, and transformation through a fusion aspect.","This may temporarily bring depth, power, pressure, release, and transformation into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Acting from the intensity before identifying the separate parts.,Test the opportunity against reality before expanding it.,"Something connected to depth, power, pressure, release, and transformation may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_pluto_conjunction.json
You,transits/natal,jupiter_pluto_opposition,Transiting Jupiter Opposition Natal Pluto,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of depth, power, pressure, release, and transformation through a polarity aspect.","This may temporarily bring depth, power, pressure, release, and transformation into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Turning tension into a standoff instead of a clearer understanding.,Test the opportunity against reality before expanding it.,"Something connected to depth, power, pressure, release, and transformation may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_pluto_opposition.json
You,transits/natal,jupiter_pluto_sextile,Transiting Jupiter Sextile Natal Pluto,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of depth, power, pressure, release, and transformation through a opening aspect.","This may temporarily bring depth, power, pressure, release, and transformation into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Coasting on the good idea without turning it into anything concrete.,Test the opportunity against reality before expanding it.,"Something connected to depth, power, pressure, release, and transformation may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_pluto_sextile.json
You,transits/natal,jupiter_pluto_square,Transiting Jupiter Square Natal Pluto,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of depth, power, pressure, release, and transformation through a friction aspect.","This may temporarily bring depth, power, pressure, release, and transformation into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Forcing a decision just to end the discomfort.,Test the opportunity against reality before expanding it.,"Something connected to depth, power, pressure, release, and transformation may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_pluto_square.json
You,transits/natal,jupiter_pluto_trine,Transiting Jupiter Trine Natal Pluto,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of depth, power, pressure, release, and transformation through a flow aspect.","This may temporarily bring depth, power, pressure, release, and transformation into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Letting the ease pass unused because nothing feels urgent.,Test the opportunity against reality before expanding it.,"Something connected to depth, power, pressure, release, and transformation may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_pluto_trine.json
You,transits/natal,jupiter_saturn_conjunction,Transiting Jupiter Conjunction Natal Saturn,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of structure, limits, responsibility, time, and consequence through a fusion aspect.","This may temporarily bring structure, limits, responsibility, time, and consequence into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Acting from the intensity before identifying the separate parts.,Test the opportunity against reality before expanding it.,"Something connected to structure, limits, responsibility, time, and consequence may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_saturn_conjunction.json
You,transits/natal,jupiter_saturn_opposition,Transiting Jupiter Opposition Natal Saturn,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of structure, limits, responsibility, time, and consequence through a polarity aspect.","This may temporarily bring structure, limits, responsibility, time, and consequence into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Turning tension into a standoff instead of a clearer understanding.,Test the opportunity against reality before expanding it.,"Something connected to structure, limits, responsibility, time, and consequence may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_saturn_opposition.json
You,transits/natal,jupiter_saturn_sextile,Transiting Jupiter Sextile Natal Saturn,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of structure, limits, responsibility, time, and consequence through a opening aspect.","This may temporarily bring structure, limits, responsibility, time, and consequence into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Coasting on the good idea without turning it into anything concrete.,Test the opportunity against reality before expanding it.,"Something connected to structure, limits, responsibility, time, and consequence may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_saturn_sextile.json
You,transits/natal,jupiter_saturn_square,Transiting Jupiter Square Natal Saturn,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of structure, limits, responsibility, time, and consequence through a friction aspect.","This may temporarily bring structure, limits, responsibility, time, and consequence into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Forcing a decision just to end the discomfort.,Test the opportunity against reality before expanding it.,"Something connected to structure, limits, responsibility, time, and consequence may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_saturn_square.json
You,transits/natal,jupiter_saturn_trine,Transiting Jupiter Trine Natal Saturn,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of structure, limits, responsibility, time, and consequence through a flow aspect.","This may temporarily bring structure, limits, responsibility, time, and consequence into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Letting the ease pass unused because nothing feels urgent.,Test the opportunity against reality before expanding it.,"Something connected to structure, limits, responsibility, time, and consequence may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_saturn_trine.json
